pair,2023,2024,2025,2026,2027,2028,2029,2030,2031
EG_LE,365.08576344200037,202066.19812311247,210525.47130746386,215645.38232331793,226544.64218814942,233761.14397148127,238247.46703864192,238253.89790826826,2370.116688807818
EG_LF,283.0524167455097,121026.10257853614,118030.5501092262,117360.21515495602,110528.38422586558,102767.02171558383,96760.10810369479,91550.1919657346,1021.611809740748
EG_LI,229.57167332244083,106370.86851806544,114244.73137370907,120297.87365717471,125819.79240936102,130642.02085183277,134803.05480776902,138057.91273511102,1744.1532270516964
EG_LP,145.44023195227973,60905.45921620355,64447.12287745735,54831.51523231165,46299.56588205641,36493.62826577135,28308.489887035837,29151.466058067635,255.09978305881828
EG_LS,209.0897675617639,57465.96623209039,54637.07901926171,47390.69227541895,45134.22993522387,37069.62793172943,34884.17044143461,30902.49495459976,657.5615727790619
EG_MS,8.238391429245096,2359.012562995819,2484.813803631789,2497.64007941314,2481.8570116333804,2403.366115055197,2299.5935587651047,1974.2835266867169,33.058241239486435
EG_O,27.370550367231985,10030.106838870026,11328.576447203528,12859.129618132069,14316.890278685285,15683.053394995375,16966.402239370884,18013.602148749218,261.60593775536506
EG_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG_Y,0.7947063396073972,888.6121870746686,953.4263962922753,1039.3068496627352,1125.0441467392964,1213.7249227146908,1295.1804440730693,1380.060744158699,19.185053386407613
EG_Z,15.660375439192322,4760.0900966766285,5211.300989056694,5809.667182682073,6402.17553665507,7022.516015297584,7597.538511607547,8193.187141801376,123.95151469362692
E_E,3.493952551901094,1340.346898511945,1536.5996203851967,1708.4074563206923,1879.2154785887792,2056.162395811142,2222.7284255094646,2394.1078166512834,32.95565329755115
E_ED,3.526527520065172,1537.792520361105,1445.955525339248,1369.953519071889,1292.6659035354776,1219.5207624008037,1141.0246611656535,1065.1659643265803,12.05588108542283
E_EG,6.769683891173727,3177.995106440456,3423.071812029214,3655.7726099785878,3911.0222636492967,4146.85922275046,4355.040805608394,4672.429850706216,57.33180733985222
